DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,DateClean,cafe,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
2014-02-21,Law,3.1354037267080783,1.3788819875776397,204.7016049840346,322,57,25,0.6951219512195121,1009.6000000000013,2014-02-21,Law,5,2014_Winter_W6,BL2,0,6,0,0,0,1,0,65.2871600682043
2014-02-21,Stuart,4.383910614525142,1.547486033519553,279.31289509660326,179,15,28,0.3488372093023256,784.7200000000005,2014-02-21,Stuart,5,2014_Winter_W6,BL2,0,6,0,0,0,1,0,63.71318205511769
2014-02-24,GCIS,4.675728643216084,1.5979899497487438,352.12161671710805,199,23,28,0.45098039215686275,930.4700000000008,2014-02-24,GCIS,1,2014_Winter_W7,BL2,0,7,0,0,0,0,1,75.3083943885396
2014-02-24,Harris,3.617192982456142,1.4269005847953216,216.76174938675413,171,25,23,0.5208333333333334,618.5400000000003,2014-02-24,Harris,1,2014_Winter_W7,BL2,0,7,0,0,0,0,1,59.925403603865455
2014-02-24,Law,3.427515030060129,1.4849699398797596,232.47332008326217,499,86,42,0.671875,1710.3300000000045,2014-02-24,Law,1,2014_Winter_W7,BL2,0,7,0,0,0,0,1,67.82561653104811
2014-02-24,Stuart,4.778892508143329,1.6091205211726385,337.8000166242877,307,39,46,0.4588235294117647,1467.120000000002,2014-02-24,Stuart,1,2014_Winter_W7,BL2,0,7,0,0,0,0,1,70.68583694834518
2014-02-25,GCIS,4.328712446351937,1.5493562231759657,334.72118404305655,233,29,28,0.5087719298245614,1008.5900000000014,2014-02-25,GCIS,2,2014_Winter_W7,BL2,0,7,1,0,0,0,0,77.32580719819954
2014-02-25,Harris,3.543118279569895,1.467741935483871,243.68333302720123,186,17,19,0.4722222222222222,659.0200000000004,2014-02-25,Harris,2,2014_Winter_W7,BL2,0,7,1,0,0,0,0,68.77651655952687
2014-02-25,Law,3.3648984198645686,1.4424379232505644,232.4840304194254,443,81,44,0.648,1490.650000000004,2014-02-25,Law,2,2014_Winter_W7,BL2,0,7,1,0,0,0,0,69.09095057579256
2014-02-25,Stuart,4.373352601156077,1.5982658959537572,304.6751178221665,346,33,52,0.38823529411764707,1513.1800000000026,2014-02-25,Stuart,2,2014_Winter_W7,BL2,0,7,1,0,0,0,0,69.6662596429172
2014-02-26,GCIS,4.246496062992131,1.562992125984252,320.542236981808,254,27,29,0.48214285714285715,1078.6100000000013,2014-02-26,GCIS,3,2014_Winter_W7,BL2,0,7,0,1,0,0,0,75.48393598555468
2014-02-26,Harris,3.982043478260873,1.4608695652173913,289.3323786206788,230,12,35,0.2553191489361702,915.8700000000008,2014-02-26,Harris,3,2014_Winter_W7,BL2,0,7,0,1,0,0,0,72.65927160269041
2014-02-26,Law,3.4420300751879775,1.4035087719298245,226.20267507427528,399,105,36,0.7446808510638298,1373.370000000003,2014-02-26,Law,3,2014_Winter_W7,BL2,0,7,0,1,0,0,0,65.71780900604763
2014-02-26,Stuart,4.897077922077928,1.6883116883116882,350.86407144727286,308,29,50,0.3670886075949367,1508.3000000000018,2014-02-26,Stuart,3,2014_Winter_W7,BL2,0,7,0,1,0,0,0,71.64763906766552
2014-02-27,GCIS,4.672957746478875,1.6619718309859155,359.0924503626458,213,20,33,0.37735849056603776,995.3400000000005,2014-02-27,GCIS,4,2014_Winter_W7,BL2,0,7,0,0,1,0,0,76.84478864231671
2014-02-27,Harris,3.383744075829385,1.3317535545023698,219.62197541889316,211,25,28,0.4716981132075472,713.9700000000003,2014-02-27,Harris,4,2014_Winter_W7,BL2,0,7,0,0,1,0,0,64.90501955738539
2014-02-27,Law,3.4091759465478946,1.5144766146993318,238.57280045415988,449,76,39,0.6608695652173913,1530.7200000000046,2014-02-27,Law,4,2014_Winter_W7,BL2,0,7,0,0,1,0,0,69.9796092060713
2014-02-27,Stuart,5.023019390581725,1.6620498614958448,352.74393434418386,361,39,64,0.3786407766990291,1813.3100000000027,2014-02-27,Stuart,4,2014_Winter_W7,BL2,0,7,0,0,1,0,0,70.22547733054479
2014-02-28,GCIS,4.645414847161577,1.6069868995633187,369.80776757479026,229,22,37,0.3728813559322034,1063.800000000001,2014-02-28,GCIS,5,2014_Winter_W7,BL2,0,7,0,0,0,1,0,79.60704904552254
2014-02-28,Harris,4.046559999999999,1.512,288.0897409381121,125,11,16,0.4074074074074074,505.8199999999998,2014-02-28,Harris,5,2014_Winter_W7,BL2,0,7,0,0,0,1,0,71.19374009976676
2014-02-28,Law,3.350664652567981,1.43202416918429,220.53606664894917,331,66,28,0.7021276595744681,1109.0700000000018,2014-02-28,Law,5,2014_Winter_W7,BL2,0,7,0,0,0,1,0,65.81860302848519
2014-02-28,Stuart,4.775828877005352,1.6363636363636365,290.65637253383375,187,20,26,0.43478260869565216,893.0800000000007,2014-02-28,Stuart,5,2014_Winter_W7,BL2,0,7,0,0,0,1,0,60.859880037428745
2014-03-03,GCIS,4.706051502145925,1.6824034334763949,348.8676318589212,233,35,34,0.5072463768115942,1096.5100000000007,2014-03-03,GCIS,1,2014_Winter_W8,BL2,0,8,0,0,0,0,1,74.13170716466662
2014-03-03,Harris,3.703785310734467,1.4180790960451977,249.94252133523426,177,24,18,0.5714285714285714,655.5700000000006,2014-03-03,Harris,1,2014_Winter_W8,BL2,0,8,0,0,0,0,1,67.48299384708943
