DateClean,cafe,SubTotal,Items,Proj_Calories,Count,Bottled_LC,Bottled_HC,LC%,TotalSales,Day_of_Week,Week,Treatment,Coupon,Week_of_Qtr,2,3,4,5,1,Cal_p_Dollar
11/18/14,GCIS,4.75,1.54,334.31,246,5,21,19.23%,1167.67,2,2014_Fall_W7,BL1,0,7,1,0,0,0,0,70.43
11/18/14,Harris,3.58,1.47,249.13,150,5,10,33.33%,537.71,2,2014_Fall_W7,BL1,0,7,1,0,0,0,0,69.50
11/18/14,Law,3.27,1.37,203.31,406,54,19,73.97%,1329.03,2,2014_Fall_W7,BL1,0,7,1,0,0,0,0,62.11
11/18/14,Stuart,4.70,1.55,320.31,218,3,15,16.67%,1023.8,2,2014_Fall_W7,BL1,0,7,1,0,0,0,0,68.20
11/19/14,GCIS,4.61,1.56,322.58,243,5,23,17.86%,1119.57,3,2014_Fall_W7,BL1,0,7,0,1,0,0,0,70.02
11/19/14,Harris,3.74,1.44,263.23,149,2,9,18.18%,557.72,3,2014_Fall_W7,BL1,0,7,0,1,0,0,0,70.32
11/19/14,Law,3.57,1.38,233.07,359,50,33,60.24%,1281.63,3,2014_Fall_W7,BL1,0,7,0,1,0,0,0,65.28
11/19/14,Stuart,4.90,1.53,345.58,158,2,13,13.33%,773.49,3,2014_Fall_W7,BL1,0,7,0,1,0,0,0,70.59
11/20/14,GCIS,4.69,1.61,332.26,286,6,34,15.00%,1342.01,4,2014_Fall_W7,BL1,0,7,0,0,1,0,0,70.81
11/20/14,Harris,3.64,1.49,242.58,203,5,13,27.78%,738.53,4,2014_Fall_W7,BL1,0,7,0,0,1,0,0,66.68
11/20/14,Law,3.16,1.33,193.75,426,52,28,65.00%,1346.25,4,2014_Fall_W7,BL1,0,7,0,0,1,0,0,61.31
11/20/14,Stuart,4.72,1.59,338.19,200,3,17,15.00%,943.67,4,2014_Fall_W7,BL1,0,7,0,0,1,0,0,71.68
11/21/14,GCIS,4.73,1.58,333.54,250,6,37,13.95%,1183.6,5,2014_Fall_W7,BL1,0,7,0,0,0,1,0,70.45
11/21/14,Harris,3.82,1.44,266.09,85,3,11,21.43%,324.42,5,2014_Fall_W7,BL1,0,7,0,0,0,1,0,69.72
11/21/14,Law,3.32,1.35,215.48,268,26,15,63.41%,890.66,5,2014_Fall_W7,BL1,0,7,0,0,0,1,0,64.84
11/21/14,Stuart,4.51,1.52,333.91,96,3,13,18.75%,432.93,5,2014_Fall_W7,BL1,0,7,0,0,0,1,0,74.04
11/24/14,GCIS,4.67,1.59,348.43,289,3,34,8.11%,1349.76,1,2014_Fall_W8,BL1,0,8,0,0,0,0,1,74.60
11/24/14,Harris,3.87,1.45,273.88,153,3,13,18.75%,591.69,1,2014_Fall_W8,BL1,0,8,0,0,0,0,1,70.82
11/24/14,Law,3.61,1.38,234.47,585,66,39,62.86%,2109.08,1,2014_Fall_W8,BL1,0,8,0,0,0,0,1,65.04
11/24/14,Stuart,5.09,1.63,358.81,167,8,12,40.00%,850.76,1,2014_Fall_W8,BL1,0,8,0,0,0,0,1,70.43
11/25/14,GCIS,4.17,1.55,307.55,232,6,28,17.65%,968.09,2,2014_Fall_W8,BL1,0,8,1,0,0,0,0,73.70
11/25/14,Harris,3.62,1.43,247.88,169,4,11,26.67%,611.09,2,2014_Fall_W8,BL1,0,8,1,0,0,0,0,68.55
11/25/14,Law,3.51,1.41,233.46,271,28,14,66.67%,950.45,2,2014_Fall_W8,BL1,0,8,1,0,0,0,0,66.56
11/25/14,Stuart,4.38,1.50,330.60,200,3,18,14.29%,876.08,2,2014_Fall_W8,BL1,0,8,1,0,0,0,0,75.47
11/26/14,GCIS,4.42,1.63,325.42,160,6,22,21.43%,706.78,3,2014_Fall_W8,BL1,0,8,0,1,0,0,0,73.67
11/26/14,Harris,3.90,1.44,253.77,63,1,4,20.00%,245.91,3,2014_Fall_W8,BL1,0,8,0,1,0,0,0,65.01
11/26/14,Law,3.64,1.50,268.88,44,4,5,44.44%,160.29,3,2014_Fall_W8,BL1,0,8,0,1,0,0,0,73.81
11/26/14,Stuart,4.11,1.48,284.22,101,0,12,0.00%,414.69,3,2014_Fall_W8,BL1,0,8,0,1,0,0,0,69.22
12/1/14,GCIS,4.42,1.52,297.17,221,7,26,21.21%,977.59,1,2014_Fall_W9,BL1,0,9,0,0,0,0,1,67.18
